scientific_name,common_name
Sarcopoterium spinosum,Spiny Burnet
Pistacia lentiscus,mastic
Anagyris foetida,Bean Trefoil
Erica manipuliflora,Autumn Heather
Asparagus aphyllus,Mediterranean Asparagus
Lamiaceae,mint family
Malva punctata,Spotted-stalked Tree-mallow
Atriplex portulacoides,Sea-purslane
Daucus carota,wild carrot
Centaurea solstitialis,Yellow Star-Thistle
Capparis spinosa,Caper Bush
Juncus acutus,spiny rush
Briza maxima,Greater Quaking Grass
Juniperus phoenicea,
Dianthus tripunctatus,Three-spotted Pink
Malva punctata,Spotted-stalked Tree-mallow
Lolium multiflorum,Italian Ryegrass
Carlina lanata,Woolly Carline-thistle
Carthamus lanatus,woolly distaff thistle
Malva punctata,Spotted-stalked Tree-mallow
Origanum onites,Pot Marjoram
Ceratonia siliqua,carob tree
Taraxacum,dandelions
Campsis radicans,American trumpet vine
Carpobrotus edulis,sea fig
Mesembryanthemum cordifolium,heart-leaf ice plant
Oenothera lindheimeri,clockweed
Cyperus rotundus,Purple nutsedge
Daucus carota,wild carrot
Centaurium erythraea,Common centaury
Origanum onites,Pot Marjoram
Carthamus lanatus,woolly distaff thistle
Onopordum,cotton thistles
Parietaria judaica,pellitory-of-the-wall
Daucus carota,wild carrot
Verbascum sinuatum,wavyleaf mullein
Capparis spinosa,Caper Bush
Avena sterilis,animated oat
Allium ampeloprasum,Wild Leek
Crepis commutata,
Acacia mearnsii,black wattle
Plantago lanceolata,ribwort plantain
Parthenocissus quinquefolia,Virginia creeper
Pinus brutia,Turkish pine
Olea europaea,Olive
Poaceae,grasses
Schinus molle,Peruvian Pepper Tree
Ferula communis,Giant Fennel
Pseudodictamnus acetabulosus,False Dittany
Acacia saligna,golden wreath wattle
Lactuca serriola,prickly lettuce
Poaceae,grasses
Crepis fraasii,
Glebionis coronaria,Garland Daisy
Malva multiflora,Cretan Tree-mallow
Ricinus communis,castor bean
Lactuca serriola,prickly lettuce
Pyrus spinosa,Almond-leaved pear
Hirschfeldia incana,Shortpod Mustard
Malva multiflora,Cretan Tree-mallow
Duranta erecta,skyflower
Glebionis coronaria,Garland Daisy
Matricaria chamomilla,German Chamomile
Cyperus rotundus,Purple nutsedge
Poaceae,grasses
Melia azedarach,Chinaberry
Polypogon monspeliensis,rabbitfoot grass
Phillyrea latifolia,Green Olive Tree
Daucus carota,wild carrot
Helminthotheca echioides,bristly oxtongue
Nicotiana glauca,tree tobacco
Xanthium orientale,Californian burr
Knautia degenii,
Cynanchum acutum,Stranglewort
Alhagi graecorum,Camel's Thorn
Echium plantagineum,purple viper's-bugloss
Cichorium pumilum,Wild Endive
Pinus brutia,Turkish pine
Daucus carota,wild carrot
Heliotropium europaeum,European heliotrope
Melilotus sulcatus,furrowed melilot
Daucus carota,wild carrot
Teucrium capitatum,Felty Germander
Heliotropium europaeum,European heliotrope
Cichorium pumilum,Wild Endive
Malva,Mallows
Daucus carota,wild carrot
Thymbra capitata,Spanish Oregano
Thymbra,
Origanum vulgare,Oregano
Verbascum sinuatum,wavyleaf mullein
Origanum onites,Pot Marjoram
Allium amethystinum,Amethyst Garlic
Lysimachia atropurpurea,Dark Purple Loosestrife
Trifolium arvense,rabbitfoot clover
Verbascum mucronatum,
Catharanthus roseus,Madagascar Periwinkle
Pyrus spinosa,Almond-leaved pear
Platanus orientalis,Oriental Plane
Albizia julibrissin,Persian silk tree
Acanthus mollis,Bear's breeches
Echium italicum,Pale Bugloss
Onopordum bracteatum,Branched Cotton Thistle
Scolymus hispanicus,common golden thistle
Euphorbia characias,Mediterranean spurge
Euphorbia characias,Mediterranean spurge
Crepis commutata,
Delphinium glaucum,Sierra larkspur
Satureja thymbra,Thyme-leaved Savory
Schinus molle,Peruvian Pepper Tree
Origanum onites,Pot Marjoram
Ceratonia siliqua,carob tree
Vitis vinifera,wine grape
Pyrus spinosa,Almond-leaved pear
Tragopogon porrifolius,purple salsify
Lysimachia arvensis,scarlet pimpernel
Echinops spinosissimus,Spiny Globe-thistle
Lantana camara,common lantana
Onopordum caricum,
Cupressus sempervirens,Mediterranean cypress
Apiaceae,carrot family
Daucus carota,wild carrot
Quercus ithaburensis,Valonia oak
Ricinus communis,castor bean
Heliotropium europaeum,European heliotrope
Opuntia ficus-indica,Indian fig opuntia
Russelia equisetiformis,Firecracker plant
Argyranthemum,
Hydrangea macrophylla,mophead hydrangea
Plantae,plants
Rosa,roses
Cestrum nocturnum,night jessamine
Melilotus sulcatus,furrowed melilot
Plumbago auriculata,blue plumbago
Plumbago auriculata,blue plumbago
Jasminum polyanthum,Pink jasmine
Pseudodictamnus acetabulosus,False Dittany
Vitex agnus-castus,Lilac chaste tree
Echium plantagineum,purple viper's-bugloss
Vitex agnus-castus,Lilac chaste tree
Pinus brutia,Turkish pine
Schinus molle,Peruvian Pepper Tree
Crepis commutata,
Lysimachia arvensis,scarlet pimpernel
Melilotus sulcatus,furrowed melilot
Trifolium campestre,hop trefoil
Crepis commutata,
Sonchus tenerrimus,slender sowthistle
Euphorbia peplus,Petty Spurge
Tragopogon porrifolius,purple salsify
Oxalis corniculata,Creeping Woodsorrel
Polypogon monspeliensis,rabbitfoot grass
Carduinae,Thistles and Burdocks
Lysimachia arvensis,scarlet pimpernel
Vitis vinifera,wine grape
Oxalis corniculata,Creeping Woodsorrel
Poa pratensis,Smooth Meadow-grass
Thinopyrum intermedium intermedium,Intermediate Wheatgrass
Ricinus communis,castor bean
Lactuca serriola,prickly lettuce
Oxalis debilis,Largeflower pink-sorrel
Oenothera lindheimeri,clockweed
Cuscuta campestris,Field Dodder
Hibiscus,hibiscuses
Rosa,roses
Nerium oleander,oleander
Hemerocallis,daylilies
Euphorbia maculata,Spotted spurge
Liagoraceae,
Cupressus,cypresses
Lysimachia arvensis,scarlet pimpernel
Ranunculus muricatus,Rough-fruited buttercup
Matricaria chamomilla,German Chamomile
Daucus carota,wild carrot
Rumex obtusifolius,broad-leaved dock
Mesembryanthemum cordifolium,heart-leaf ice plant
Ranunculus muricatus,Rough-fruited buttercup
Galium aparine,catchweed bedstraw
Helminthotheca echioides,bristly oxtongue
Apium nodiflorum,fool's watercress
Urospermum picroides,False Hawkbit
Melilotus sulcatus,furrowed melilot
Opuntia ficus-indica,Indian fig opuntia
Daucus carota,wild carrot
Anacamptis sancta,Holy Orchid
Oxalis debilis,Largeflower pink-sorrel
Daucus carota,wild carrot
Melilotus indicus,small melilot
Centaurium erythraea,Common centaury
Daucus carota,wild carrot
Centaurea iberica,Iberian star-thistle
Hibiscus,hibiscuses
Trifolium lappaceum,burdock clover
Hirschfeldia incana,Shortpod Mustard
Ricinus communis,castor bean
Ceratonia siliqua,carob tree
Jacaranda mimosifolia,blue jacaranda
Campsis radicans,American trumpet vine
Convolvulus arvensis,field bindweed
Pistacia lentiscus,mastic
Rubus ulmifolius,elmleaf blackberry
Amaranthus hybridus,Smooth Pigweed
Daucus carota,wild carrot
Plantae,plants
Pinus,"Eurasian, red, and tropical pines"
Amaranthus,amaranths
Opuntioideae,
Mentha longifolia,Horse Mint
Centaurium erythraea,Common centaury
Heliotropium europaeum,European heliotrope
Foeniculum vulgare,fennel
Schinus molle,Peruvian Pepper Tree
Araucaria columnaris,Cook pine
Vitex,
Cascabela thevetia,Be-still tree
Angiospermae,flowering plants
Duranta erecta,skyflower
Araceae,arum family
Euphorbia maculata,Spotted spurge
Euphorbia maculata,Spotted spurge
Mentha longifolia,Horse Mint
Sonchus oleraceus,Common Sow-thistle
Albizia,"Mimosa, silk trees, false-thorns, and allies"
Daucus,carrots
Glaucium flavum,Yellow Horned Poppy
Papaver,poppies
Albizia julibrissin,Persian silk tree
Poa pratensis,Smooth Meadow-grass
Papaver rhoeas,common poppy
Polygonum aviculare,Prostrate Knotweed
Helminthotheca echioides,bristly oxtongue
Echinochloa crus-galli,barnyardgrass
Apium nodiflorum,fool's watercress
Nicotiana glauca,tree tobacco
Cyperus rotundus,Purple nutsedge
Ficus carica,common fig
Asclepias curassavica,tropical milkweed
Echinochloa crus-galli,barnyardgrass
Duranta erecta,skyflower
Malva,Mallows
Xanthium orientale,Californian burr
Sonchus oleraceus,Common Sow-thistle
Convolvulus arvensis,field bindweed
Capparis,Capebushes
Heliotropium europaeum,European heliotrope
Setaria adhaerens,bur bristle grass
Amaranthus hybridus,Smooth Pigweed
Euphorbia prostrata,prostrate sandmat
Arundo plinii,
Andropogoneae,
Capparis,Capebushes
Plantae,plants
Plantae,plants
Heliotropium europaeum,European heliotrope
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Typha,bulrushes and cattails
Asteraceae,"sunflowers, daisies, asters, and allies"
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Capparis,Capebushes
Apiaceae,carrot family
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Plantae,plants
Rubus,brambles
Vitex agnus-castus,Lilac chaste tree
Plantae,plants
Plantae,plants
Verbascum,mulleins
Verbascum,mulleins
Echinops,Globe thistles
Spartium junceum,Spanish Broom
Plantae,plants
Pyrus,pears
Magnoliopsida,dicots
Plantae,plants
Campsis,trumpet vines
Ferula communis,Giant Fennel
Nerium oleander,oleander
Eriobotrya japonica,Loquat
Mesembryanthemum cordifolium,heart-leaf ice plant
Olea europaea,Olive
Caryophyllales,"pinks, cactuses, and allies"
Oxalis corniculata,Creeping Woodsorrel
Heliotropium europaeum,European heliotrope
Jacaranda mimosifolia,blue jacaranda
Phyla nodiflora,turkey tangle frogfruit
Hedera helix,common ivy
Gazania rigens,uniform treasureflower
Convolvulus arvensis,field bindweed
Pistacia lentiscus,mastic
Euphorbia maculata,Spotted spurge
Petroselinum crispum,garden parsley
Salsola pontica,Tumbleweed
Euphorbia hypericifolia,graceful spurge
Acacia,wattles
Plantae,plants
Chlorophyta,green algae
Vitex agnus-castus,Lilac chaste tree
Echinops sphaerocephalus,Glandular Globe-thistle
Acacia saligna,golden wreath wattle
Ericoideae,"typical heathers, azaleas, and allies"
Oxalis corniculata,Creeping Woodsorrel
Portulaca oleracea,Common Purslane
Tracheophyta,vascular plants
Tamarix,Tamarisks
Pistacia,pistaches
Euphorbia hypericifolia,graceful spurge
Pinus brutia,Turkish pine
Musa × paradisiaca,Plantain
Bougainvillea,bougainvilleas
Catharanthus roseus,Madagascar Periwinkle
Tradescantia pallida,Purple heart
Ruellia,ruellias
Heliotropium europaeum,European heliotrope
Styrax officinalis,Snowdrop Bush
Pistacia lentiscus,mastic
Menthinae,
Magnoliopsida,dicots
Araucaria,araucarias
Vitex,
Ruellia simplex,Mexican ruellia
Rhus coriaria,Tanner's sumac
Cupressaceae,cypress family
Angiospermae,flowering plants
Liagora ceranoides,
Cedrus libani,Lebanon cedar
Angiospermae,flowering plants
Quercus coccifera,Kermes oak
Pinus brutia,Turkish pine
Ficus microcarpa,Chinese banyan
Myrtus communis,myrtle
Quercus coccifera,Kermes oak
Magnoliopsida,dicots
Quercus coccifera,Kermes oak
Magnoliopsida,dicots
Plumbago auriculata,blue plumbago
Maleae,
Cydonia oblonga,Quince
Plumbago auriculata,blue plumbago
Cortaderia selloana,Pampas Grass
Lycianthes rantonnetii,blue potatobush
Opuntia ficus-indica,Indian fig opuntia
Phoenix canariensis,Canary Island palm
Carissa macrocarpa,Natal Plum
Cupressus sempervirens,Mediterranean cypress
Arundo donax,giant reed
Equisetum,horsetails
Equisetum telmateia,great horsetail
Lemna,Duckweeds
Capparis zoharyi,Egyptian Caper
Pyrus spinosa,Almond-leaved pear
Drimia maritima,Sea Squill Complex
Gomphrena globosa,Globe amaranth
Pancratium maritimum,Sea Daffodil
Arundo plinii,
Pancratium maritimum,Sea Daffodil
Momordica charantia,Bitter Melon
Pancratium maritimum,Sea Daffodil
Arundo plinii,
Musa × paradisiaca,Plantain
Lantana camara,common lantana
Pancratium maritimum,Sea Daffodil
Salsola tragus,Prickly Russian Thistle
Pancratium maritimum,Sea Daffodil
Vitex agnus-castus,Lilac chaste tree
Cynanchum acutum,Stranglewort
Myrtus communis,myrtle
Heliotropium europaeum,European heliotrope
Pistacia lentiscus,mastic
Heliotropium,Heliotropes
Eryngium campestre,Field Eryngo
Quercus coccifera,Kermes oak
Ononis natrix,yellow restharrow
Picnomon acarna,Yellow-spine Thistle
Heliotropium europaeum,European heliotrope
Capparis zoharyi,Egyptian Caper
Oenothera primiveris,desert evening-primrose
Lantana,
Convolvulus althaeoides tenuissimus,Elegant Bindweed
Olea europaea,Olive
Quercus ithaburensis,Valonia oak
Morus alba,white mulberry
Magnoliopsida,dicots
Smilax,greenbriers
Rubia tenuifolia,
Sorghum bicolor,Sorghum
Colchicum variegatum,Chequered Meadow Saffron
Magnoliopsida,dicots
Verbascum,mulleins
Drimia maritima,Sea Squill Complex
Parthenocissus,
Opuntia,Prickly Pears
Liagora ceranoides,
Liagora ceranoides,
Paliurus spina-christi,Jerusalem Thorn
Ficus microcarpa,Chinese banyan
Tradescantia pallida,Purple heart
Plantae,plants
Pistacia lentiscus,mastic
Magnoliopsida,dicots
Colchicum variegatum,Chequered Meadow Saffron
Ceratonia siliqua,carob tree
Liquidambar orientalis,Oriental Sweetgum
Jasminum,jasmine
Capparis,Capebushes
Lupinus,lupines
Cerris,
Pistacia lentiscus,mastic
Thymbra capitata,Spanish Oregano
Olea europaea,Olive
Asparagus acutifolius,Spiny Asparagus
Cistus creticus,Hoary Rock-rose
Magnoliopsida,dicots
Angiospermae,flowering plants
Caragana,peashrubs
Plantae,plants
Liquidambar orientalis,Oriental Sweetgum
Heliotropium europaeum,European heliotrope
Drimia aphylla,Sea Squill
Smilax excelsa,Larger Smilax
Pulicaria dysenterica,Common Fleabane
Plantae,plants
Salix,Willows
Ceratonia siliqua,carob tree
Carissa,Num-nums
Myrtus communis,myrtle
Eryngium thorifolium,
Colchicum lingulatum rigescens,
Nerium oleander,oleander
Plantae,plants
Cyclamen,
Drimia maritima,Sea Squill Complex
Pancratium maritimum,Sea Daffodil
Colchicum,Naked Ladies
Colchicum variegatum,Chequered Meadow Saffron
Cupressus sempervirens,Mediterranean cypress
Echinops spinosissimus,Spiny Globe-thistle
Pancratium maritimum,Sea Daffodil
Cupressus sempervirens,Mediterranean cypress
Ailanthus altissima,tree-of-heaven
Angiospermae,flowering plants
Dittrichia viscosa,false yellowhead
Limonium ramosissimum,Algerian sea lavender
Laurus nobilis,Bay laurel
Drimia maritima,Sea Squill Complex
Salvia fruticosa,Greek Sage
Lythrum salicaria,purple loosestrife
Cestrum nocturnum,night jessamine
Arum italicum,Italian arum
Myrtus communis,myrtle
Smilax aspera,Rough Bindweed
Ruscus aculeatus,butcher's-broom
Capparis spinosa,Caper Bush
Pistacia lentiscus,mastic
Cascabela thevetia,Be-still tree
Cyclamen,
Kindbergia oregana,Oregon Beaked Moss
Rubus ulmifolius,elmleaf blackberry
Dittrichia graveolens,Stinkwort
Melia azedarach,Chinaberry
Dittrichia,
Myrtus communis,myrtle
Hypochaeris radicata,Common Cat's-ear
Hypochaeris radicata,Common Cat's-ear
Ruellia simplex,Mexican ruellia
Magnoliopsida,dicots
Sisyrinchium californicum,Golden-eyed Grass
Plantae,plants
Pistacia lentiscus,mastic
Liliopsida,monocots
Solanum nigrum,black nightshade
Oxalis articulata,pink-sorrel
Prospero autumnale,Autumn Squill
Liliopsida,monocots
Euphorbia prostrata,prostrate sandmat
Erica manipuliflora,Autumn Heather
Selaginella,spikemosses
Lagurus ovatus,Hare's Tail Grass
Vitex agnus-castus,Lilac chaste tree
Asplenium ceterach,Rustyback
Prospero autumnale,Autumn Squill
Colchicum variegatum,Chequered Meadow Saffron
Cyclamen,
Erica manipuliflora,Autumn Heather
Smilax aspera,Rough Bindweed
Plantae,plants
Plantae,plants
Rubus,brambles
Cyclamen hederifolium,Ivy-leaved cyclamen
Smilax aspera,Rough Bindweed
Narcissus miniatus,
Castanea,Chestnuts
Ceratonia siliqua,carob tree
Arbutus unedo,strawberry tree
Arbutus andrachne,Greek strawberry-tree
Hypochaeris radicata,Common Cat's-ear
Cyclamen hederifolium,Ivy-leaved cyclamen
Spiranthes spiralis,Autumn Ladies' Tresses
Arbutus unedo,strawberry tree
Arbutus andrachne,Greek strawberry-tree
Colchicum variegatum,Chequered Meadow Saffron
Oleaceae,olive family
Arbutus andrachne,Greek strawberry-tree
Arbutus unedo,strawberry tree
Dimorphotheca ecklonis,blue-and-white daisybush
Olea europaea,Olive
Arbutus,madrones
Magnoliopsida,dicots
Salvia rosmarinus,Rosemary
Eriobotrya japonica,Loquat
Oxalis pes-caprae,Bermuda buttercup
Taraxacum,dandelions
Lycianthes,
Amaranthus graecizans,Mat Amaranth
Passiflora caerulea,Bluecrown passionflower
Misopates orontium,Weasel's-snout
Misopates orontium,Weasel's-snout
Amaranthus graecizans,Mat Amaranth
Leontodon hispidus,Rough Hawkbit
Chondrilla juncea,Rush Skeletonweed
Phoenix canariensis,Canary Island palm
Phoenix canariensis,Canary Island palm
Pittosporum tobira,Japanese pittosporum
Crataegus mexicana,manzanita tejocotera
Urospermum picroides,False Hawkbit
Dittrichia viscosa,false yellowhead
Jasminum polyanthum,Pink jasmine
Plumbago auriculata,blue plumbago
Oenothera simulans,Southern Beeblossom
Bougainvillea glabra,lesser bougainvillea
Olea europaea,Olive
Plantae,plants
Drimia maritima,Sea Squill Complex
Smilax aspera,Rough Bindweed
Smilax,greenbriers
Polypodium vulgare,common polypody
Lantana camara,common lantana
Cupressus sempervirens,Mediterranean cypress
Angiospermae,flowering plants
Clematis cirrhosa,Early Virgin's-bower
Quercus,high-latitude oaks
Tracheophyta,vascular plants
Mandragora officinarum,Mediterranean mandrake
Clematis cirrhosa,Early Virgin's-bower
Smilax excelsa,Larger Smilax
Pistacia,pistaches
Pyrus spinosa,Almond-leaved pear
Arisarum vulgare,Friar's-cowl
Oxalis pes-caprae,Bermuda buttercup
Viola,violets
Anagyris foetida,Bean Trefoil
Leontodon hispidus,Rough Hawkbit
Oxalis pes-caprae,Bermuda buttercup
Mercurialis annua,Annual mercury
Sonchus oleraceus,Common Sow-thistle
Arum,arum lilies
Oxalis pes-caprae,Bermuda buttercup
Calendula arvensis,field marigold
Clematis cirrhosa,Early Virgin's-bower
Clematis vitalba,Old man's beard
Arbutus unedo,strawberry tree
Poeae,
Homalothecium sericeum,Silky Wall Feather-moss
Adiantum capillus-veneris,black maidenhair fern
Verbascum thapsus,great mullein
Ferula communis,Giant Fennel
Echium plantagineum,purple viper's-bugloss
Calendula arvensis,field marigold
Calendula arvensis,field marigold
Lycianthes rantonnetii,blue potatobush
Raphanus raphanistrum,Jointed Charlock
Polygonum aviculare,Prostrate Knotweed
Mercurialis annua,Annual mercury
Oxalis pes-caprae,Bermuda buttercup
Malva,Mallows
Araceae,arum family
Carissa macrocarpa,Natal Plum
Centaurium erythraea,Common centaury
Salsola pontica,Tumbleweed
Aloe arborescens,Candelabra Aloe
Arisarum,
Clematis,
Cupressaceae,cypress family
Senecio vulgaris,common groundsel
Euryops pectinatus,grey-leaved euryops
Melaleuca,bottlebrushes
Arisarum vulgare,Friar's-cowl
Arisarum vulgare,Friar's-cowl
Polypodium cambricum,southern polypody
Asplenium ceterach,Rustyback
Asparagus acutifolius,Spiny Asparagus
Salvia fruticosa,Greek Sage
Mandragora autumnalis,autumn mandrake
Umbilicus rupestris,Wall Pennywort
Myrtus communis,myrtle
Cucurbitaceae,gourd family
Ferula,
Echinops sphaerocephalus,Glandular Globe-thistle
Ceiba speciosa,Silk floss tree
Panicoideae,
Pistacia lentiscus,mastic
Mandragora autumnalis,autumn mandrake
Polypodium,polypody ferns
Hedera helix,common ivy
Plumbago auriculata,blue plumbago
Faboideae,
Rumex obtusifolius,broad-leaved dock
Mentha aquatica,watermint
Laurus nobilis,Bay laurel
Calendula arvensis,field marigold
Quercus coccifera,Kermes oak
Taraxacum,dandelions
Veronica persica,bird's-eye speedwell
Trifolium resupinatum,Reversed clover
Medicago polymorpha,bur clover
Matricaria chamomilla,German Chamomile
Sonchus tenerrimus,slender sowthistle
Setaria pumila,yellow foxtail
Cirsium creticum,
Pistacia lentiscus,mastic
Romulea tempskyana,
Erodium moschatum,musk stork's-bill
Bellis sylvestris,southern daisy
Romulea tempskyana,
Taraxacum,dandelions
Drimia aphylla,Sea Squill
Smyrnium olusatrum,Alexanders
Hypochaeris glabra,Smooth Cat's Ear
Arisarum vulgare,Friar's-cowl
Bryophyta,mosses
Lycopodium,ground and creeping clubmosses
Erodium moschatum,musk stork's-bill
Mandragora autumnalis,autumn mandrake
Silybum marianum,milk thistle
Ruta chalepensis,Fringed Rue
Asphodelus ramosus,Branched Asphodel
Pistacia lentiscus,mastic
Romulea tempskyana,
Ferula communis,Giant Fennel
Carthamus lanatus,woolly distaff thistle
Hypochaeris glabra,Smooth Cat's Ear
Brassicaceae,mustard family
Brassicaceae,mustard family
Magnoliopsida,dicots
Iris,Irises
Ranunculales,"buttercups, poppies, and allies"
Anemone coronaria,poppy anemone
Verbascum mucronatum,
Verbascum sinuatum,wavyleaf mullein
Anagyris foetida,Bean Trefoil
Calendula arvensis,field marigold
Mandragora autumnalis,autumn mandrake
Carlina corymbosa,Clustered Carline-thistle
Asphodelus ramosus,Branched Asphodel
Verbascum mucronatum,
Ruta chalepensis,Fringed Rue
Oxalis pes-caprae,Bermuda buttercup
Erodium malacoides,Soft Stork's-bill
Magnoliopsida,dicots
Lycopodium,ground and creeping clubmosses
Quercus aucheri,Boz-Pirnal Oak
Erodium moschatum,musk stork's-bill
Taraxacum,dandelions
Drimia,poison squills
Asphodelus ramosus,Branched Asphodel
Hypochaeris glabra,Smooth Cat's Ear
Prospero autumnale,Autumn Squill
Cistus salviifolius,Sage-leaved Rock-rose
Clematis cirrhosa,Early Virgin's-bower
Romulea tempskyana,
Narcissus miniatus,
Erigeron bonariensis,Flax-leaved Horseweed
Veronica cymbalaria,Pale Speedwell
Narcissus miniatus,
Malva multiflora,Cretan Tree-mallow
Matricaria chamomilla,German Chamomile
Senecio vulgaris,common groundsel
Fumaria judaica,Judean Fumitory
Arisarum vulgare,Friar's-cowl
Plantae,plants
Chamaecytisus prolifer,Escabon
Rubieae,
Romulea tempskyana,
Romulea tempskyana,
Glebionis coronaria,Garland Daisy
Echium plantagineum,purple viper's-bugloss
Romulea tempskyana,
Ipomoea purpurea,common morning-glory
Anthemideae,"Chamomiles, yarrows, and allies"
Ricinus communis,castor bean
Pistacia lentiscus,mastic
Anemone coronaria,poppy anemone
Anemone coronaria,poppy anemone
Selaginella denticulata,Mediterranean clubmoss
Arisarum vulgare,Friar's-cowl
Erodium botrys,Mediterranean Stork's-bill
Tradescantia pallida,Purple heart
Anagyris foetida,Bean Trefoil
